row_id,butterfly_taxon,host_taxon_name,host_taxon_rank,current_confidence,curated_confidence,curation_action,evidence_basis,source_checked,citation_for_ui,notes_for_web_app,source_refs_current,doi_or_url_current,occurrence_count_in_web_app,use_for_default_download_current,host_plant_family,host_plant_genus,host_plant_species
483,Ithomia salapia,Physalis,genus,medium,medium,needs_primary_source,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Neotropics: [Lamas, 1985]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Solanaceae,Physalis,
484,Ithomia salapia,Witheringia,genus,medium,high,needs_primary_source,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Neotropics: [Lamas, 1985]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Solanaceae,Witheringia,
485,Ithomia salapia,Physalis angulata,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Ecuador: [Drummond & Brown, 1987 (ssp. derasa)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,4897,true,Solanaceae,Physalis,Physalis angulata
486,Ithomia salapia,Witheringia solanacea,species,medium,high,keep,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Ecuador: [Beccaloni, 1995 (ssp. derasa); Beccaloni, 1995 (ssp. salapia)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,1917,true,Solanaceae,Witheringia,Witheringia solanacea
487,Ithomia xenos,Witheringia,genus,medium,high,keep,Trusted oviposition/egg record is direct host-use evidence.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Trusted oviposition/egg record is direct host-use evidence.,"Costa Rica: [DeVries, 1987]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Solanaceae,Witheringia,
488,Ithomia xenos,Acnistus arborescens,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked. | Codex source-PDF re-audit 2026-05-21: authoritative_checked_compilation,Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Costa Rica: [Haber, p.c., 1998; DeVries, 1986; Drummond & Brown, 1987]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,695,true,Solanaceae,Acnistus,Acnistus arborescens
489,Ithomia xenos,Cuatresia riparia,species,medium,high,reaudit_upgrade,Trusted oviposition/egg record is direct host-use evidence.,Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked. | Codex source-PDF re-audit 2026-05-21: oviposition_trusted,Beccaloni et al. 2008,Trusted oviposition/egg record is direct host-use evidence.,"Costa Rica: [Drummond & Brown, 1987 (Ovip.); Haber, p.c., 1998 (Ovip.)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,236,true,Solanaceae,Cuatresia,Cuatresia riparia
490,Ithomia xenos,Witheringia cuneata,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Costa Rica: [Drummond & Brown, 1987; Haber, p.c., 1998]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,157,true,Solanaceae,Witheringia,Witheringia cuneata
491,Mcclungia cymo,Solanaceae,family,medium,medium,downgrade,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Brazil: [Silva et al., 1968 (ssp. salonina); RJ, d'Almeida, 1944a (ssp. salonina)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,false,Solanaceae,,
492,Mcclungia cymo,Cestrum,genus,medium,medium,keep,"Plausible Beccaloni catalogue record with embedded citation, but primary record not independently checked in this audit.",Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked.,Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Brazil: [RJ, Drummond, 1988 (ssp. fallens); RJ, Brown & Freitas, 1994 (ssp. fallens); SP, Freitas, p.c., 1994 (ssp. salonina)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,true,Solanaceae,Cestrum,
493,Mcclungia cymo,Cestrum,genus,medium,medium,keep,"Plausible Beccaloni catalogue record with embedded citation, but primary record not independently checked in this audit.",Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked.,Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Brazil: [Brown, 1992a (ssp. salonina)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,true,Solanaceae,Cestrum,
494,Mcclungia cymo,Cestrum laevigatum,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Brazil: [SP, Drummond & Brown, 1987 (ssp. salonina)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,198,true,Solanaceae,Cestrum,Cestrum laevigatum
495,Mcclungia cymo,Cestrum schlechtendalii,species,medium,medium,reaudit_upgrade,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Brazil: [SP, Drummond & Brown, 1987 (ssp. salonina)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,1231,true,Solanaceae,Cestrum,Cestrum schlechtendalii
496,Mcclungia cymo,Cestrum sendtnerianum,species,medium,medium,reaudit_upgrade,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Brazil: [SP, Drummond & Brown, 1987 (ssp. salonina)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,65,true,Solanaceae,Cestrum,Cestrum sendtnerianum
497,Mcclungia cymo,Solanum campaniforme,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Venezuela: [Knapp, In press (Ovip.) (ssp. cymo); Mallet, p.c., 1984 (Ovip.; RC: 84-82) (ssp. cymo)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,596,true,Solanaceae,Solanum,Solanum campaniforme
498,Mcclungia salonina,Cestrum sendtnerianum,species,medium,high,upgrade,Direct juvenile-stage/life-history evidence checked in Brown & Freitas 1994 figure legend.,"Brown & Freitas 1994, Juvenile stages of Ithomiinae, Fig. 3-7 and data acquisition notes.",Brown & Freitas 1994,"Fig. 7: Mcclungia salonina larva on Cestrum sendtnerianum, Sumare, SP.",Only known larval host plant in the study area reported as Cestrum sendtnerianum.,https://doi.org/10.18473/lepi.78i3.a5,65,true,Solanaceae,Cestrum,Cestrum sendtnerianum
499,Mechanitis isthmia,Solanum rugosum,species,medium,needs_check,needs_primary_source,The audit file cites a search-result/abstract snippet; full paper was not retrieved in the supplied PDFs.,"Young 1979, Behavioral regulatory mechanisms in populations of Mechanitis isthmia in Costa Rica: adaptations to host plants",Young 1979,"Do not expose as medium/high until the full paper verifies life stage, locality, and host taxon.",Search result snippet states larval host plant Solanum rugosum.,https://doi.org/10.1002/mmnd.19790260104,1080,true,Solanaceae,Solanum,Solanum rugosum
500,Mechanitis lysimnia,Solanaceae,family,medium,medium,downgrade,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Brazil: [RJ, Bönninghausen, 1896]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,false,Solanaceae,,
501,Mechanitis lysimnia,Solanaceae,family,medium,low,downgrade,Family-level host association is too broad for a precise confidence label or GBIF occurrence overlay.,Beccaloni et al. 2008 catalogue row; family-level fallback.,Beccaloni et al. 2008,"Use only as fallback text, not as a host taxon overlay or species-level ecological record.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.","Brazil: [Silva et al., 1968]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,false,Solanaceae,,
502,Mechanitis lysimnia,Solanum,genus,medium,high,taxon_level_reaudit,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Brazil: [SC, Hoffmann, 1931b; SC, Lima, 1947; Hoffmann, 1937a; RJ, SP, Lima, 1928; SC, Hoffmann, 1933 (Ovip.); Ac, Freitas, p.c., 1997]; Costa Rica: [DeVries, 1987 (ssp. utemaia)]; Neotropics: [Müller, 1878]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Solanaceae,Solanum,
503,Mechanitis lysimnia,Solanum,genus,medium,medium,taxon_level_reaudit,"Genus-level host evidence is credible, but the map overlay includes all occurrences in the genus; keep below high unless a species-level host is resolved.",Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked. | Codex source-PDF re-audit 2026-05-21: authoritative_checked_compilation | Codex taxon-level policy adjustment 2026-05-21: taxon_level_genus_overlay_too_broad_for_high,Beccaloni et al. 2008,"Genus-level association; useful context, not exact species-level host evidence.","Brazil: [Drummond & Brown, 1987 (ssp. lysimnia)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,true,Solanaceae,Solanum,
504,Mechanitis lysimnia,Solanum,genus,medium,high,taxon_level_reaudit,"Genus-level association; useful context, not exact species-level host evidence.","Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,"Genus-level association; useful context, not exact species-level host evidence.","Brazil: [RJ, Drummond & Brown, 1987 (ssp. lysimnia); DF, Drummond & Brown, 1987 (ssp. lysimnia)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Solanaceae,Solanum,
505,Mechanitis lysimnia,Solanum,genus,medium,medium,taxon_level_reaudit,"Genus-level association; useful context, not exact species-level host evidence.","Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,"Genus-level association; useful context, not exact species-level host evidence.","Ecuador: [Drummond & Brown, 1987 (ssp. elisa)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Solanaceae,Solanum,
506,Mechanitis lysimnia,Solanum,genus,medium,medium,taxon_level_reaudit,"Genus-level association; useful context, not exact species-level host evidence.","Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,"Genus-level association; useful context, not exact species-level host evidence.","Belize: [Meerman, In press (ssp. utemaia)]; Brazil: [SC, Müller, 1886 (Ovip.)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Solanaceae,Solanum,
507,Mechanitis lysimnia,Brugmansia candida,species,medium,medium,reaudit_upgrade,"Genus-level association; useful context, not exact species-level host evidence.","Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,"Genus-level association; useful context, not exact species-level host evidence.","Brazil: [Silva et al., 1968; RS, Drummond & Brown, 1987 (ssp. lysimnia)]; Uruguay: [Biezanko et al., 1974b]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,460,true,Solanaceae,Brugmansia,Brugmansia candida
508,Mechanitis lysimnia,Brugmansia suaveolens,species,medium,high,keep,"Genus-level association; useful context, not exact species-level host evidence.","Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,"Genus-level association; useful context, not exact species-level host evidence.","Uruguay: [Biezanko et al., 1974b]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,712,true,Solanaceae,Brugmansia,Brugmansia suaveolens
509,Mechanitis lysimnia,Brunfelsia uniflora,species,low,high,keep,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Brazil: [Silva et al., 1968]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,691,false,Solanaceae,Brunfelsia,Brunfelsia uniflora
510,Mechanitis lysimnia,Cyphomandra betacea,species,medium,high,upgrade,Trusted oviposition/egg record is direct host-use evidence.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Trusted oviposition/egg record is direct host-use evidence.,"Argentina: [Drummond & Brown, 1987 (ssp. elisa); Hayward, 1960 (ssp. elisa); Hayward, 1969 (ssp. elisa)]; Brazil: [RJ, Drummond & Brown, 1987 (ssp. lysimnia); RJ, Brown & Freitas, 1994; Silva et al., 1968]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,119,true,Solanaceae,Cyphomandra,Cyphomandra betacea
511,Mechanitis lysimnia,Cyphomandra diploconos,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Brazil: [SP, Drummond & Brown, 1987 (ssp. lysimnia)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,7,true,Solanaceae,Cyphomandra,Cyphomandra diploconos
512,Mechanitis lysimnia,Cyphomandra divaricata,species,medium,high,keep,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Brazil: [SP, Vasconcellos-Neto, 1991]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,11,true,Solanaceae,Cyphomandra,Cyphomandra divaricata
513,Mechanitis lysimnia,Cyphomandra pilosa,species,medium,high,keep,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Ecuador: [Beccaloni, 1995 (ssp. elisa)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,48,true,Solanaceae,Cyphomandra,Cyphomandra pilosa
514,Mechanitis lysimnia,Cyphomandra sciadostylis,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Brazil: [RJ, Drummond & Brown, 1987 (ssp. lysimnia)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,8,true,Solanaceae,Cyphomandra,Cyphomandra sciadostylis
515,Mechanitis lysimnia,Cyphomandra velutina,species,low,high,keep,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Brazil: [Drummond & Brown, 1987 (ssp. lysimnia)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,1,false,Solanaceae,Cyphomandra,Cyphomandra velutina
